"PedigreeNodeId","Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","Points:0","Points:1","Points:2"
411,293.15,0,0,0,0.026931,0.18424,0.006999,0.00072757,0.80803,4.4048,3.696,1.1211
1520,367.64,-0.74004,1.7804,-10.936,0.026869,0.16447,0.0061363,0.00068058,0.82872,3.4466,4.1075,1.1211
424,293.15,0,0,0,0.02693,0.18424,0.0069989,0.0007276,0.80803,3.696,4.4048,1.1211
1521,367.65,-1.0391,1.6246,-10.935,0.026868,0.16447,0.0061362,0.00068062,0.82872,2.681,4.6436,1.1211
437,293.15,0,0,0,0.026929,0.18424,0.0069988,0.00072765,0.80803,2.875,4.9797,1.1211
1522,367.65,-1.3054,1.4188,-10.935,0.026867,0.16447,0.006136,0.00068067,0.82872,1.8339,5.0386,1.1211
450,293.15,0,0,0,0.026928,0.18424,0.0069987,0.00072771,0.80803,1.9666,5.4032,1.1211
1523,367.66,-1.5307,1.17,-10.935,0.026866,0.16447,0.0061358,0.00068072,0.82872,0.9311,5.2805,1.1211
463,293.15,0,0,0,0.026927,0.18424,0.0069985,0.00072776,0.80803,0.99848,5.6626,1.1211
1524,437.26,3.617,-1.41,-14.893,0.026934,0.14953,0.0053788,0.00066551,0.84442,0.86373,-4.8984,1.1211
1525,437.26,-2.9221,2.5631,-14.893,0.026934,0.14953,0.005379,0.00066549,0.84442,0.86373,4.8984,1.1211
1526,503.84,5.2973,-2.011,-14.673,0.027145,0.1373,0.0046462,0.000677,0.85738,0.79635,-4.5163,1.1211
1527,503.84,-4.2969,3.7029,-14.673,0.027145,0.1373,0.0046463,0.00067699,0.85738,0.79635,4.5163,1.1211
1528,564.87,6.6597,-1.9704,-11.996,0.027408,0.12718,0.0039512,0.00070518,0.86816,0.72897,-4.1342,1.1211
1529,564.87,-5.5921,4.1313,-11.996,0.027408,0.12718,0.0039514,0.00070516,0.86816,0.72897,4.1342,1.1211
1530,564.85,6.8974,-0.78843,-11.996,0.027409,0.12718,0.0039514,0.00070515,0.86816,1.4358,-3.9448,1.1211
1531,564.82,6.9298,0.41471,-11.996,0.02741,0.12719,0.0039517,0.0007051,0.86816,2.099,-3.6356,1.1211
1532,564.79,6.7573,1.6069,-11.997,0.027411,0.12719,0.0039521,0.00070505,0.86815,2.6984,-3.2159,1.1211
1533,564.78,6.3814,2.758,-11.998,0.027412,0.1272,0.0039524,0.00070501,0.86815,3.2159,-2.6984,1.1211
1534,564.79,5.8033,3.8324,-11.999,0.027411,0.1272,0.0039525,0.00070501,0.86815,3.6356,-2.099,1.1211
1535,564.83,5.043,4.7862,-11.999,0.027409,0.12719,0.0039522,0.00070504,0.86815,3.9448,-1.4358,1.1211
1536,564.86,4.1319,5.5887,-11.998,0.027409,0.12719,0.0039519,0.00070507,0.86815,4.1342,-0.72897,1.1211
1537,564.87,3.0986,6.2199,-11.998,0.027409,0.12719,0.0039518,0.00070509,0.86816,4.198,2.498e-16,1.1211
1538,564.86,1.9721,6.6614,-11.998,0.027409,0.12719,0.0039519,0.00070508,0.86816,4.1342,0.72897,1.1211
1539,564.84,0.79008,6.901,-11.999,0.02741,0.12719,0.0039521,0.00070505,0.86815,3.9448,1.4358,1.1211
1540,564.8,-0.41324,6.9366,-11.999,0.027412,0.1272,0.0039526,0.00070501,0.86815,3.6356,2.099,1.1211
1541,564.78,-1.6104,6.7664,-11.998,0.027412,0.1272,0.0039528,0.00070499,0.86814,3.2159,2.6984,1.1211
1542,564.79,-2.7677,6.3854,-11.998,0.027411,0.1272,0.0039525,0.00070502,0.86815,2.6984,3.2159,1.1211
1543,564.82,-3.8401,5.8038,-11.997,0.027409,0.12719,0.0039521,0.00070507,0.86815,2.099,3.6356,1.1211
1544,564.85,-4.7911,5.0435,-11.996,0.027408,0.12719,0.0039517,0.00070513,0.86816,1.4358,3.9448,1.1211
1545,437.26,3.8049,-0.76238,-14.893,0.026935,0.14953,0.0053789,0.00066548,0.84442,1.7012,-4.674,1.1211
1546,437.25,3.8794,-0.092307,-14.894,0.026936,0.14953,0.005379,0.00066544,0.84442,2.487,-4.3076,1.1211
1547,437.24,3.8386,0.58188,-14.895,0.026937,0.14953,0.0053792,0.00066539,0.84442,3.1972,-3.8103,1.1211
1548,437.23,3.6818,1.2415,-14.896,0.026937,0.14954,0.0053794,0.00066535,0.84442,3.8103,-3.1972,1.1211
1549,437.23,3.4103,1.8654,-14.896,0.026937,0.14954,0.0053796,0.00066534,0.84442,4.3076,-2.487,1.1211
1550,437.24,3.0327,2.431,-14.895,0.026936,0.14954,0.0053797,0.00066535,0.84442,4.674,-1.7012,1.1211
1551,437.25,2.5632,2.9201,-14.895,0.026936,0.14954,0.0053797,0.00066536,0.84442,4.8984,-0.86373,1.1211
1552,437.26,2.017,3.3193,-14.895,0.026935,0.14954,0.0053796,0.00066537,0.84442,4.974,-2.498e-15,1.1211
1553,437.26,1.4106,3.6176,-14.895,0.026936,0.14954,0.0053797,0.00066537,0.84442,4.8984,0.86373,1.1211
1554,437.25,0.76277,3.8071,-14.895,0.026936,0.14954,0.0053797,0.00066535,0.84442,4.674,1.7012,1.1211
1555,437.24,0.091688,3.8835,-14.896,0.026937,0.14954,0.0053798,0.00066533,0.84442,4.3076,2.487,1.1211
1556,437.23,-0.58494,3.8436,-14.896,0.026937,0.14954,0.0053797,0.00066533,0.84442,3.8103,3.1972,1.1211
1557,437.23,-1.2466,3.685,-14.895,0.026937,0.14954,0.0053796,0.00066536,0.84442,3.1972,3.8103,1.1211
1558,437.24,-1.8699,3.4116,-14.895,0.026936,0.14954,0.0053794,0.0006654,0.84442,2.487,4.3076,1.1211
1559,437.25,-2.4341,3.0332,-14.894,0.026935,0.14954,0.0053792,0.00066545,0.84442,1.7012,4.674,1.1211
1560,503.83,5.5635,-1.0636,-14.673,0.027146,0.1373,0.0046463,0.00067698,0.85738,1.5685,-4.3094,1.1211
1561,503.81,5.6638,-0.085411,-14.674,0.027147,0.1373,0.0046465,0.00067693,0.85737,2.293,-3.9716,1.1211
1562,503.8,5.5959,0.89699,-14.675,0.027148,0.13731,0.0046467,0.00067688,0.85737,2.9478,-3.5131,1.1211
